notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only,total-value
cb6de62c-4a16-4131-a9a3-ae8c2aebd0af,291594.13,291594.13,12.583121578016959,1,2.0,1,0,0,0,0,0,0,0,0,291594.13
0527ef47-a850-47c6-a8ec-115aca0d993d,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
e156cfd7-7d70-491a-aac6-4b52af5ec213,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
b1efcdbb-b137-413c-a9f6-c2b6c965a0a2,990000.0,990000.0,13.805461232211272,0,,0,1,0,0,0,0,0,0,0,990000.0
145f33ba-6912-46d5-af1b-ef721ddc3646,218000.0,218000.0,12.292254928916668,1,2.5,1,0,0,0,0,0,0,0,0,218000.0
482bad7e-813b-4808-a030-f012599eaae2,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
18ee7b31-0e9a-4e3b-8784-fc30c8805b4d,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
17660e3b-4706-4946-a68c-0cc2a2af9dcd,450483.87,450483.87,13.018079770560883,0,,0,1,0,0,0,0,0,0,0,450483.87
3c4e8cc3-748a-46a4-a198-0a4b77edd451,34900000.0,9312578.711999994,17.36799741582595,0,,0,1,0,0,0,0,0,0,0,34900000.0
c2e81b0a-a491-416c-a220-3e33daea8a07,350000.0,350000.0,12.765691290604371,0,,0,1,0,0,0,0,0,0,0,350000.0
09aed4b7-1bab-4100-bab4-cba564f1fa48,8037900.0,8037900.0,15.899678537418794,0,,1,0,0,0,0,0,0,0,0,8037900.0
1848e9f0-8b3c-4c4f-9c72-f484d8085506,233870.97,233870.97,12.36252910785377,0,,0,1,0,0,0,0,0,0,0,233870.97
91ed0ec9-07d7-43c2-91f9-35eb7c9a1067,37280.0,37280.0,10.526239092474103,1,2.5,1,0,0,0,0,0,0,0,0,37280.0
28221a19-2071-48a6-adeb-f46e3d856724,1753156.0,1753156.0,14.376928720646042,1,2.5,1,0,0,0,0,0,0,0,0,1753156.0
7311c20b-cf56-4e90-b38f-0d51c633d906,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
8e1c114a-2992-4483-bd19-aa7f51332214,139949.64,139949.64,11.84904506799495,0,,0,1,0,0,0,0,0,0,0,139949.64
ab4b5056-ff5c-4a84-ab3d-e8471ae6fbd9,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
dae27372-e6b5-41e8-a8a1-f7865ddb15ba,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
c0c1c917-eae0-45d4-a5a8-5a544fb07dd0,2579587.25,2579587.25,14.763140351138222,0,,0,1,0,0,0,0,0,0,0,2579587.25
