notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,bidder-count,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social,total-value
5b5b6d7a-92fa-4269-b43a-6df5199cb3d8,214000.0,214000.0,12.273735966890268,0,,1,0,0,0,0,0,0,0,214000.0
cb6de62c-4a16-4131-a9a3-ae8c2aebd0af,291594.13,291594.13,12.583121578016959,1,2.0,0,1,0,0,0,0,0,0,291594.13
b9042aa4-cb5b-4139-a7fd-654fb3b23816,82863.5,82863.5,11.324962022628863,0,,1,0,0,0,0,0,0,0,82863.5
60332e0f-a7df-4bee-a739-ef59e1c52612,240000.0,240000.0,12.388398368982115,0,,1,0,0,0,0,0,0,0,240000.0
c0b4b1df-e3a2-47cd-8203-0a20674616f4,1475424.0,1475424.0,14.204456641846189,0,,1,0,0,0,0,0,0,0,1475424.0
e06386ee-591f-4fd9-acc0-c512979cf1be,1500000.0,1500000.0,14.220976332738882,1,4.0,0,1,0,0,0,0,0,0,1500000.0
4c86080a-b654-425b-9f14-5c7e3de15aac,1700000.0,1700000.0,14.346139397261565,0,,0,1,0,0,0,0,0,0,1700000.0
98d9ea3a-3e32-4916-91f2-3c986b95b0ec,256908.0,256908.0,12.456477215571136,1,1.0,0,1,0,0,0,0,0,0,256908.0
622696bf-6142-4507-9a5a-e1f4ad4e93c7,213989.2,213989.2,12.27368549856287,1,4.0,0,1,0,0,0,0,0,0,213989.2
22834c18-bb6d-4eea-a0f5-da7976f2dbaf,140570.0,140570.0,11.853467978193942,0,,0,1,0,0,0,0,0,0,140570.0
4e637e7d-16ca-481d-b812-1f193e7a0584,10989768.99,10989768.99,16.2124753971344,1,2.5,0,1,0,0,0,0,0,0,10989768.99
945b222e-c405-4c04-8963-51d3e81183d1,136672.4350017,136672.4350017,11.825349673188772,0,,0,1,0,0,0,0,0,0,267985.16667
37367edc-cb6e-461a-a177-e85639f31176,1790541.0,1790541.0,14.39802892528039,0,,0,0,1,0,0,0,0,0,1790541.0
5c73c3da-1278-42e4-9210-a75075764452,0.0,0.0,0.0,1,2.0,0,1,0,0,0,0,0,0,0.0
7bbaecd3-a5af-4e6c-9f54-85e6d6286028,1791314.22,1791314.22,14.398460667789662,0,,1,0,0,0,0,0,0,0,1791314.22
2ab4cfbe-d7d5-4563-a093-3d232175a15a,200000.0,200000.0,12.206077645517674,0,,1,0,0,0,0,0,0,0,200000.0
ba4387e5-08bb-4f8c-8ced-ed3fbc3278e3,208333.33,208333.33,12.246899424038986,0,,0,0,1,0,0,0,0,0,208333.33
0527ef47-a850-47c6-a8ec-115aca0d993d,2579587.25,2579587.25,14.763140351138222,0,,1,0,0,0,0,0,0,0,2579587.25
a291a41c-8a03-4fd2-8879-9c077174e7df,269000.0,269000.0,12.502470376049185,0,,1,0,0,0,0,0,0,0,269000.0
3b92b4d6-5cd9-497c-9c2b-33bb99ec1d9f,18773.78,18773.78,9.840269758853962,1,2.0,0,1,0,0,0,0,0,0,18773.78
8ca0b53a-2bc5-46d2-8d8b-2f1d0214043f,584980.0,584980.0,13.279334647054073,0,,0,0,0,0,0,0,1,0,584980.0
aaf4ef42-688c-4efd-9bfd-07f738dd9e02,25268.1,25268.1,10.137337584393823,1,2.5,0,1,0,0,0,0,0,0,647900.0
6b9a6f92-281b-433a-b699-3a701902f86a,176287.6262,176287.6262,12.079877852408083,0,,1,0,0,0,0,0,0,0,766467.94
da1d7052-ee93-4954-b454-eb1b61938233,449535994.03,23506828.500000007,19.923726486600916,0,,0,0,1,0,0,0,0,0,449535994.03
a1a50bbf-1b5d-49ff-acec-3bdde24d6d89,1373115254.0,23506828.500000007,21.04034790412758,11,2.0,0,1,0,0,0,0,0,0,1373115254.0
d9a39e0b-88e4-4804-87c5-25ca2e8631fc,152792706.0,23506828.500000007,18.844592704500034,2,4.0,0,1,0,0,0,0,0,0,152792706.0
ff1d1243-0000-4502-bb09-a0c3a91f7945,1.0,1.0,0.6931471805599453,0,,0,1,0,0,0,0,0,0,1.0
483d6e2c-f623-41e6-bba6-7935f230e2f7,233749.9983,233749.9983,12.362011717943952,0,,1,0,0,0,0,0,0,0,458333.33
57493bfd-2ecd-4152-90d8-85b0b6894144,155299.58418,155299.58418,11.95311777075237,1,2.5,0,1,0,0,0,0,0,0,3982040.62
88df29a6-705e-4f4a-9778-1b314499f5d9,448115.226,448115.226,13.012807910785906,1,2.5,0,1,0,0,0,0,0,0,11490134.0
43a0d492-adb2-418f-9311-48f808c4daff,736000.0,736000.0,13.508986756405742,0,,0,1,0,0,0,0,0,0,736000.0
eff3e3c1-46d8-4e17-9f4c-d09e62bbbb91,182710.0,182710.0,12.115660948544912,0,,0,1,0,0,0,0,0,0,182710.0
