notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,winner-size,winner-owner-nationality,winner-selection-status,legal-basis-proc,direct-award-justification-text-proc.lit,direct-award-justification-text-proc.eng,direct-award-justification-proc,framework-buyer-categories-lot.hrv,exclusion-grounds,accessibility-lot,legal-basis-text.ces,no-negocaition-necessary-lot,direct-award-justification-text-proc.fra,framework-value-notice,legal-basis-text.pol,legal-basis-text.deu,framework-buyer-categories-lot.nld,subcontracting-percentage,ipi-measures-applicable-lot,direct-award-justification-text-proc.nld,direct-award-justification-text-proc.pol,framework-buyer-categories-lot.deu,subcontracting-value,direct-award-justification-text-proc.slv,direct-award-justification-text-proc.ita,direct-award-justification-text-proc.spa,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_veat,notice_is_pin-only,notice_is_cn-social,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_cn-desg,notice_is_can-social,notice_is_pin-buyer
13c7ec47-2f87-4fa3-bd74-9a23cdbc31ba,none,cn-standard,258226-2025,False,32014L0024,ITA,EUR,be203cab-9fa9-4b25-a646-e4231ff9597d,EUR,2278121.2,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,2278121.2,2278121.2,False,14.638862065097472,0,,,1,0,0,0,0,0,0,0,0,0
431da9e0-13d9-4e8e-9e2c-d5a68977116a,none|none|none,can-standard,258227-2025,False,32014L0024,DEU,,f33a5b19-10cb-4992-84aa-eb5d08e2024e,,250556.88,large|medium,DEU|DEU,selec-w|selec-w|selec-w,vgv,,,,,,,,,,,,,,,,,,,,,,,EUR,250556.88,250556.88,False,12.431445230701526,2,large,4.0,0,1,0,0,0,0,0,0,0,0
eda63728-f563-43f2-89ee-c31f417c38bf,none|none|none|none|none|none|none|none|none|none,can-standard,258228-2025,,32014L0024,POL,,a9f39e01-7590-4262-8353-a36e8b5e52c3,,143797.0,large|medium|large|medium,,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,143797.0,143797.0,False,11.876164815966522,4,large,4.0,0,1,0,0,0,0,0,0,0,0
9acd80de-5820-4e76-aaf9-50a90a6ca5f0,none,can-standard,258229-2025,,32014L0025,LTU,EUR,687b35f5-fb29-4ebb-a222-44b55c9a5d64,EUR,975000.0,,,selec-w,,"['Pirkimo poreikis sąlygotas būtinybės nuosekliai vykdant pervažų modernizavimo programoje prioriteto būdu atrinktose pervažose (Vilnius-Klaipėda geležinkelių linijos prioritetinių pervažų modernizavimas yra II-asis programos įgyvendinimo etapas, į kurį patenka 10 pervažų) atliekant pakeitimus sukonfigūruotas automatinių pervažų signalizacijos nuotolinis valdymas ir pervažų signalizacijos įrenginių kontrolė iš eismo valdymo ir kontrolės sistemos (Toliau – EVKS) DaVinci. Pirkimo inicijavimo stadijoje nustatytos aplinkybės, kad egzistuoja sąlygos vykdyti Pirkimą iš Indra Sistemas S.A. neskelbiamų derybų būdu dėl žemiau išdėstomų priežasčių, susijusių su konkurencijos nebuvimu dėl techninių priežasčių (PĮ 79 str. 1 d. 3p. b) papunkčio nuostatos t.y konkurencijos nėra dėl techninių priežasčių): Užsakovui būtina išlaikyti EVKS sistemai įdiegimo metu suteiktą Saugos vientisumo SIL2 lygį, dėl šios priežasties paslaugas gali suteikti tik tiekėjas, kuris paslaugų suteikimo metu užtikrintu nenutrūkstamą EVKS atitikimą CENELEC EN 50126, 50128 ir 50129 (SIL 2) standartų reikalavimams.']","['Pirkimo poreikis sąlygotas būtinybės nuosekliai vykdant pervažų modernizavimo programoje prioriteto būdu atrinktose pervažose (Vilnius-Klaipėda geležinkelių linijos prioritetinių pervažų modernizavimas yra II-asis programos įgyvendinimo etapas, į kurį patenka 10 pervažų) atliekant pakeitimus sukonfigūruotas automatinių pervažų signalizacijos nuotolinis valdymas ir pervažų signalizacijos įrenginių kontrolė iš eismo valdymo ir kontrolės sistemos (Toliau – EVKS) DaVinci. Pirkimo inicijavimo stadijoje nustatytos aplinkybės, kad egzistuoja sąlygos vykdyti Pirkimą iš Indra Sistemas S.A. neskelbiamų derybų būdu dėl žemiau išdėstomų priežasčių, susijusių su konkurencijos nebuvimu dėl techninių priežasčių (PĮ 79 str. 1 d. 3p. b) papunkčio nuostatos t.y konkurencijos nėra dėl techninių priežasčių): Užsakovui būtina išlaikyti EVKS sistemai įdiegimo metu suteiktą Saugos vientisumo SIL2 lygį, dėl šios priežasties paslaugas gali suteikti tik tiekėjas, kuris paslaugų suteikimo metu užtikrintu nenutrūkstamą EVKS atitikimą CENELEC EN 50126, 50128 ir 50129 (SIL 2) standartų reikalavimams.']",exclusive,,,,,,,,,,,,,,,,,,,,EUR,975000.0,975000.0,False,13.790193775620484,0,,,0,1,0,0,0,0,0,0,0,0
ce23742d-d01c-47c9-b609-37552ac68519,none|none|none,cn-standard,258230-2025,False,32014L0025,HRV,EUR,d1582a69-c706-414d-a61d-eb2562cd27bd,EUR,600000.0,,,,,,,,['Naručitelji koji su navedeni u ovoj obavijesti'],exg-crim-part|exg-crim-corrpt|exg-crim-fraud|exg-crim-terror|exg-crim-laund|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-sitn-bankr|exg-sitn-insolvency|exg-sitn-liq-admin|exg-sitn-cred-arran|exg-sitn-as-susp|exg-sitn-other|exg-mis-misrepresent,n-inc|n-inc|n-inc,,,,,,,,,,,,,,,,,EUR,600000.0,600000.0,False,13.304686600863562,0,,,1,0,0,0,0,0,0,0,0,0
7c8e1189-dc2e-4f8f-906d-b1d9e55a2d0e,none|none|none,can-standard,258231-2025,,32014L0024,CZE,CZK,8eb144bc-1fa4-4ae8-b8df-31f972dfabb9,CZK,14382630.0,,,clos-nw|clos-nw|clos-nw,"32014L0024|zákon č. 134/2016 Sb., zákon o zadávání veřejných zakázek",,,,,,,"['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES', 'zákon č. 134/2016 Sb., zákon o zadávání veřejných zakázek']",,,,,,,,,,,,,,,,CZK,560922.57,560922.57,False,13.237339936364297,0,,,0,1,0,0,0,0,0,0,0,0
0dec3d8b-01d7-4a04-b6ac-5ef2fc7db721,none,cn-standard,258232-2025,False,other,POL,,bda70251-e83c-4c1b-a334-728663c5b166,,,,,,Art. 132 ustawy z dnia 11 września 2019 r. - Prawo zamówień publicznych,,,,,,n-inc,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
78ccbf8a-1695-418e-908b-33f2a18be17c,none|none|none|none|none|none|none|none|none|none|none|none|none,can-standard,258233-2025,True,32014L0024,POL,,b4890f19-c1c9-4e00-b3f3-876851276144,,511087.49,large|large|large|large|large|medium|large|large|large|large,,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|clos-nw|clos-nw|clos-nw|selec-w|selec-w|selec-w|selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,511087.49,511087.49,False,13.144298024448007,10,large,4.0,0,1,0,0,0,0,0,0,0,0
39dd9613-3abd-4681-83c4-6ab3f13f1a30,none,cn-standard,258236-2025,False,32014L0024,POL,,12b4f22c-393a-4c58-b07c-9d24b0d684c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
b1f3a6db-5aaf-46b0-ad6b-98283cd1c380,none,cn-standard,258237-2025,,32014L0024,FRA,,6348a017-e63d-4052-9bb1-d821aa831cbf,,,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
