notice-identifier,dps-usage-lot,notice-type,exclusion-grounds,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,legal-basis-proc,procedure-identifier,winner-selection-status,winner-size,estimated-value-cur-lot,total-value,estimated-value-cur-proc,winner-owner-nationality,direct-award-justification-text-proc.deu,direct-award-justification-proc,no-negocaition-necessary-lot,accessibility-lot,legal-basis-text.deu,framework-value-notice,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_pin-only,notice_is_cn-social,notice_is_veat,notice_is_can-desg,notice_is_qu-sy
bfd51f5a-3413-492f-8f07-1c2af2a8a97d,none,cn-standard,exg-natl-bre-nat-law,185561-2025,False,32014L0024,DEU,vob-a-eu,a99b7e37-a7f0-4c9f-a1b4-dc7248d64c4d,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
63315fe8-f0d3-405a-a4a4-0d42a41af740,none,can-standard,,185565-2025,False,32014L0024,DEU,vgv,c1fac07c-3c9c-41e8-96c9-5b5f5c935dfd,selec-w,small,,,,,,,,,,,EUR,,,False,0.0,1,small,2.0,0,1,0,0,0,0,0,0,0
357c7139-4bce-477e-b6a8-86e2c9be3341,none,cn-standard,exg-crim-corrpt|exg-crim-fraud|exg-crim-part|exg-crim-terror|exg-sitn-as-susp|exg-crim-laund|exg-sitn-liq-admin|exg-mis-partic-confl|exg-mis-sanction|exg-crim-traffick|exg-sitn-other|exg-mis-misconduct|exg-mis-misrepresent|exg-mis-bre-lab-law|exg-mis-bre-soc-law|exg-mis-bre-env-law|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-mis-distortion|exg-mis-prep-confl|exg-sitn-insolvency,185568-2025,False,32014L0024,DEU,vgv,ab77c42c-e651-41bc-9e85-0d8eec6ca818,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
969d6c01-8830-43cd-897a-d44f7a39da05,none|none,can-standard,,185581-2025,False,32014L0024,DEU,vgv,08a1eae5-48cf-441c-804d-a23eae5ddfb3,clos-nw|clos-nw,,EUR,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0
26558b9b-f44c-408b-b5a2-6a51ff0df052,,can-modif,,185584-2025,,32014L0024,DEU,vob-a-eu,85fa687f-ce7e-4c54-ad6c-39f4af735a79,,,,3651235.15,,,,,,,,,EUR,3651235.15,3651235.15,False,15.110576339455394,0,,,0,0,1,0,0,0,0,0,0
365de8e8-c194-49cb-bc10-6ad3571dd21e,none|none,cn-standard,nati-ground|bankr-nat|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,185588-2025,False,32014L0024,DEU,vgv,6077d523-5d90-44fe-ad41-dd4cdfb14ceb,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
a942fe72-bd03-4c01-9e74-34bba38f940e,none,can-standard,,185589-2025,False,32014L0024,DEU,vgv,aeb4de70-ba6f-4fd2-8513-2d4681dbc543,selec-w,small,,388500.0,EUR,DEU,,,,,,,EUR,388500.0,388500.0,False,12.8700510227891,1,small,2.0,0,1,0,0,0,0,0,0,0
0a0e3093-d200-4f31-bda1-daf47154201c,none,cn-standard,crime-org|terr-offence|finan-laund|fraud|corruption|human-traffic|socsec-pay|tax-pay|labour-law|socsec-law|envir-law|insolvency|liq-admin|bankr-nat|susp-act|prof-misconduct|distorsion|sanction|misrepresent,185595-2025,False,32014L0024,DEU,vgv,c2c670f3-adaf-45bb-804d-1c5ce188e4d0,,,EUR,200000.0,EUR,,,,,,,,EUR,200000.0,200000.0,False,12.206077645517674,0,,,1,0,0,0,0,0,0,0,0
8a068abe-cea7-48d8-a59b-858ca45d8ecd,none,can-standard,,185607-2025,False,32014L0024,DEU,vob-a-eu,b6324199-0cd9-4c6d-8eb5-0e30d1808fb9,selec-w,micro,,361325.24,,DEU,,,,,,,EUR,361325.24,361325.24,False,12.797536541124618,1,micro,1.0,0,1,0,0,0,0,0,0,0
95b1e54c-4da6-481f-89c9-5eeb26605158,none,cn-standard,exg-natl-bre-nat-law,185613-2025,False,32014L0024,DEU,vob-a-eu,8cd3a7cd-5193-4629-a67d-4205780dadf3,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
