notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,exclusion-grounds,winner-size,winner-selection-status,no-negocaition-necessary-lot,legal-basis-proc,winner-owner-nationality,framework-value-notice,direct-award-justification-text-proc.lit,direct-award-justification-proc,legal-basis-text.ces,accessibility-lot,legal-basis-text.pol,framework-buyer-categories-lot.hrv,direct-award-justification-text-proc.deu,direct-award-justification-text-proc.ces,legal-basis-text.deu,direct-award-justification-text-proc.spa,direct-award-justification-text-proc.fin,direct-award-justification-text-proc.ron,direct-award-justification-text-proc.nld,framework-buyer-categories-lot.fra,direct-award-justification-text-proc.bul,subcontracting-percentage,subcontracting-value,direct-award-justification-text-proc.ell,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social
5b5b6d7a-92fa-4269-b43a-6df5199cb3d8,none,cn-standard,269879-2025,False,32014L0024,NLD,EUR,230f235a-371b-42b9-abd5-fe504d5b3f5e,EUR,214000.0,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,,,,,,,,EUR,214000.0,214000.0,False,12.273735966890268,0,,,1,0,0,0,0,0,0,0
cb6de62c-4a16-4131-a9a3-ae8c2aebd0af,none,can-standard,269880-2025,False,32014L0024,GRC,EUR,1b2d164c-f336-4c53-b588-51251286c1a1,EUR,291594.13,,small,selec-w,,,,,,,,,,,,,,,,,,,,,,,EUR,291594.13,291594.13,False,12.583121578016959,1,small,2.0,0,1,0,0,0,0,0,0
b9042aa4-cb5b-4139-a7fd-654fb3b23816,none,cn-standard,269881-2025,False,32014L0024,DEU,,30d00283-4303-4e98-8e76-a63aceb2084e,EUR,82863.5,exg-crim-part|exg-crim-terror|exg-crim-laund|exg-crim-fraud|exg-crim-corrpt|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-bre-lab-law|exg-sitn-liq-admin|exg-sitn-other|exg-sitn-as-susp|exg-mis-distortion|exg-mis-partic-confl|exg-mis-prep-confl,,,True,vgv,,,,,,,,,,,,,,,,,,,,,EUR,82863.5,82863.5,False,11.324962022628863,0,,,1,0,0,0,0,0,0,0
db9ae17a-af1e-4d09-93df-95731396b79b,none,cn-standard,269882-2025,False,32014L0024,DEU,,f0600ca6-1e74-44e8-a45b-ee60733a85aa,,,exg-sitn-other|exg-crim-corrpt|exg-crim-part|exg-mis-distortion|exg-mis-bre-env-law|exg-crim-laund|exg-crim-fraud|exg-crim-traffick|exg-sitn-insolvency|exg-mis-bre-lab-law|exg-sitn-liq-admin|exg-mis-misrepresent|exg-mis-partic-confl|exg-mis-prep-confl|exg-mis-misconduct|exg-mis-sanction|exg-mis-bre-soc-law|exg-pmt-bre-ssc|exg-sitn-as-susp|exg-pmt-bre-tax|exg-crim-terror|exg-natl-bre-nat-law,,,,vgv,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
60332e0f-a7df-4bee-a739-ef59e1c52612,none|none,cn-standard,269883-2025,False,32014L0024,FRA,EUR,5a1a191d-2286-4177-95be-8961cb7a89e0,EUR,240000.0,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,,,,,,,,EUR,240000.0,240000.0,False,12.388398368982115,0,,,1,0,0,0,0,0,0,0
4af5fa53-593d-40fe-9e5d-e56e828104f4,none,cn-standard,269885-2025,False,32014L0024,AUT,,7d956563-bcf0-4f3b-a000-eb12048635f5,,,bankr-nat|bankruptcy|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
c0b4b1df-e3a2-47cd-8203-0a20674616f4,none|none,cn-standard,269886-2025,False,32014L0024,ESP,EUR,f6e08bbd-2675-4ea0-b750-9d1b61ee7d87,EUR,1475424.0,exg-mis-bre-soc-law|exg-crim-fraud|exg-mis-misconduct|exg-mis-sanction|exg-crim-corrpt|exg-mis-prep-confl|exg-mis-partic-confl|exg-sitn-insolvency|exg-natl-bre-nat-law|exg-sitn-cred-arran|exg-sitn-as-susp|exg-mis-misrepresent|exg-sitn-liq-admin|exg-crim-part|exg-mis-distortion|exg-mis-bre-lab-law|exg-crim-terror|exg-mis-bre-env-law|exg-pmt-bre-tax|exg-sitn-other|exg-crim-traffick|exg-crim-laund|exg-sitn-bankr|exg-pmt-bre-ssc,,,,,,,,,,,,,,,,,,,,,,,,,EUR,1475424.0,1475424.0,False,14.204456641846189,0,,,1,0,0,0,0,0,0,0
e06386ee-591f-4fd9-acc0-c512979cf1be,none,can-standard,269887-2025,False,32014L0025,FRA,,94bb5659-7f7f-4aa8-bfd1-0ebc41645f5a,,1500000.0,,large,selec-w,,,FRA,,,,,,,,,,,,,,,,,,,,EUR,1500000.0,1500000.0,False,14.220976332738882,1,large,4.0,0,1,0,0,0,0,0,0
0196670f-28ea-48ae-a127-b3420b58eed6,none,cn-standard,269888-2025,False,32014L0024,DEU,,01966707-cc28-443c-8998-bb36efd2fb06,,,exg-crim-corrpt,,,,vgv,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
4c86080a-b654-425b-9f14-5c7e3de15aac,none,can-standard,269889-2025,False,32014L0024,FIN,EUR,66283455-d2a1-433d-ac11-73a3e75e4530,EUR,1700000.0,,,clos-nw,,,,,,,,,,,,,,,,,,,,,,,EUR,1700000.0,1700000.0,False,14.346139397261565,0,,,0,1,0,0,0,0,0,0
98d9ea3a-3e32-4916-91f2-3c986b95b0ec,none,can-standard,269890-2025,,32014L0024,DEU,,0a71d437-86f7-4cb9-8f3f-2333578d6a9b,,256908.0,,micro,selec-w,,vob-a,,,,,,,,,,,,,,,,,,,,,EUR,256908.0,256908.0,False,12.456477215571136,1,micro,1.0,0,1,0,0,0,0,0,0
622696bf-6142-4507-9a5a-e1f4ad4e93c7,none|none|none|none|none|none|none,can-standard,269891-2025,,32014L0025,ROU,,159db7ed-d109-41de-a9a1-b4e02c579207,,213989.2,,large,selec-w|selec-w|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw,,,,525255.45,,,,,,,,,,,,,,,,,,,EUR,213989.2,213989.2,False,12.27368549856287,1,large,4.0,0,1,0,0,0,0,0,0
