notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,winner-size,estimated-value-cur-proc,total-value,winner-selection-status,direct-award-justification-text-proc.ell,direct-award-justification-proc,exclusion-grounds,legal-basis-proc,subcontracting-percentage,subcontracting-value,framework-value-notice,legal-basis-text.ell,accessibility-lot,winner-owner-nationality,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_can-social,notice_is_pin-cfc-social,notice_is_cn-desg,notice_is_cn-social,notice_is_pin-only
cb6de62c-4a16-4131-a9a3-ae8c2aebd0af,none,can-standard,269880-2025,False,32014L0024,GRC,EUR,1b2d164c-f336-4c53-b588-51251286c1a1,small,EUR,291594.13,selec-w,,,,,,,,,,,EUR,291594.13,291594.13,False,12.583121578016959,1,small,2.0,1,0,0,0,0,0,0,0,0
0527ef47-a850-47c6-a8ec-115aca0d993d,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,269906-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
e156cfd7-7d70-491a-aac6-4b52af5ec213,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,270006-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
b1efcdbb-b137-413c-a9f6-c2b6c965a0a2,none,cn-standard,270031-2025,False,32014L0024,GRC,EUR,772359f9-fc79-487a-97c4-34ad236ebb02,,EUR,990000.0,,,,,,,,,,,,EUR,990000.0,990000.0,False,13.805461232211272,0,,,0,1,0,0,0,0,0,0,0
b1d43d4c-3240-407f-9b11-11a503cb8b00,none,can-standard,270110-2025,,32018R1046,BEL|LUX|BEL|LUX|BEL|FRA|BEL|BEL|BEL|BEL|BEL|BEL|BEL|BEL|BEL|BEL|ESP|FRA|GRC|BEL|ESP|LUX|HUN|SVK|PRT|NLD|LUX|FRA|ITA|MLT|NLD|SVN|DEU|PRT|ESP|BEL|BEL|BEL|BEL|LUX|BEL|BEL|LUX,,fcc865d9-4061-447c-9f50-6a704a0e7f36,,,,clos-nw,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0
145f33ba-6912-46d5-af1b-ef721ddc3646,none,can-standard,270259-2025,,32014L0024,GRC,,d92194ca-a57f-4c68-8e53-325221492d3b,sme,,218000.0,selec-w,"['Σύμφωνα με το άρθρο 32 παρ. 2, περίπτ. γ΄, του ν. 4412/2016, όπως ισχύει σήμερα, κατόπιν της με Δ127 ΕΑΔΗΣΥ/2024 Γνώμη της ΕΑΔΗΣΥ και της με ΑΔΑ: ΨΠ0Α46ΨΖ2Ν-Ι22 Απόφασης Συμβουλίου Διοίκησης']",urgency,,,,,,,,,EUR,218000.0,218000.0,False,12.292254928916668,1,sme,2.5,1,0,0,0,0,0,0,0,0
482bad7e-813b-4808-a030-f012599eaae2,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,270354-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
18ee7b31-0e9a-4e3b-8784-fc30c8805b4d,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,270454-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
17660e3b-4706-4946-a68c-0cc2a2af9dcd,none,cn-standard,270535-2025,False,32014L0024,GRC,EUR,804d2cde-0d95-40b6-8d15-7dd6120238dc,,EUR,450483.87,,,,exg-natl-bre-nat-law,,,,,,,,EUR,450483.87,450483.87,False,13.018079770560883,0,,,0,1,0,0,0,0,0,0,0
3c4e8cc3-748a-46a4-a198-0a4b77edd451,none,cn-standard,270643-2025,False,32014L0025,GRC,EUR,d7c9a01a-a2fa-4a6c-b841-5a12c5ca6b56,,EUR,34900000.0,,,,exg-crim-part|exg-crim-corrpt|exg-crim-fraud|exg-crim-terror|exg-crim-laund|exg-crim-traffick|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-sitn-bankr|exg-sitn-other|exg-sitn-liq-admin|exg-sitn-as-susp,,,,,,,,EUR,34900000.0,9312578.711999994,True,17.36799741582595,0,,,0,1,0,0,0,0,0,0,0
c2e81b0a-a491-416c-a220-3e33daea8a07,none,cn-standard,270668-2025,False,32014L0024,GRC,,b54b0a8a-8dc6-41e4-8892-1f1abfb3845d,,EUR,350000.0,,,,exg-crim-part|exg-crim-corrpt|exg-crim-fraud|exg-crim-terror|exg-crim-laund|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-sitn-bankr|exg-sitn-other|exg-mis-distortion|exg-mis-partic-confl|exg-mis-misconduct|exg-mis-bre-soc-law|exg-mis-bre-lab-law|exg-mis-bre-env-law|exg-sitn-liq-admin|exg-sitn-as-susp,,,,,,,,EUR,350000.0,350000.0,False,12.765691290604371,0,,,0,1,0,0,0,0,0,0,0
09aed4b7-1bab-4100-bab4-cba564f1fa48,none,can-standard,270705-2025,False,32014L0024,GRC,EUR,22c09797-e4c3-4051-8097-9cd831ce3cea,,EUR,8037900.0,clos-nw,,,,,,,,,,,EUR,8037900.0,8037900.0,False,15.899678537418794,0,,,1,0,0,0,0,0,0,0,0
1848e9f0-8b3c-4c4f-9c72-f484d8085506,none|none|none,cn-standard,270773-2025,False,32014L0024,GRC,EUR,18bca8a7-ad9a-4e7e-93a6-b44b60730dba,,EUR,233870.97,,,,,,,,,,,,EUR,233870.97,233870.97,False,12.36252910785377,0,,,0,1,0,0,0,0,0,0,0
91ed0ec9-07d7-43c2-91f9-35eb7c9a1067,none,can-standard,270793-2025,False,32014L0024,GRC,,1c4f41f9-d3c5-40c5-83f5-c3fe0359e523,sme,EUR,37280.0,selec-w,,,,"Ν. 4412/2016 (ΦΕΚ 147 Α΄) Δημόσιες Συμβάσεις Έργων, Προμηθειών και Υπηρεσιών (προσαρμογή στις Οδηγίες 2014/24/ΕΕ και 2014/25/ΕΕ), όπως τροποποιήθηκε και ισχύει",,,,,,,EUR,37280.0,37280.0,False,10.526239092474103,1,sme,2.5,1,0,0,0,0,0,0,0,0
28221a19-2071-48a6-adeb-f46e3d856724,none,can-standard,270909-2025,,32014L0024,GRC,,677eb645-4e1e-4198-8062-21fadb1b3f2b,sme,,1753156.0,selec-w,"['Σύμφωνα με το άρθρο 32 παρ. 2, περίπτ. γ΄, του ν. 4412/2016, όπως ισχύει σήμερα, κατόπιν της με Δ127 ΕΑΔΗΣΥ/2024 Γνώμη της ΕΑΔΗΣΥ και της με ΑΔΑ: ΨΠ0Α46ΨΖ2Ν-Ι22 Απόφασης Συμβουλίου Διοίκησης']",urgency,,,,,,,,,EUR,1753156.0,1753156.0,False,14.376928720646042,1,sme,2.5,1,0,0,0,0,0,0,0,0
7311c20b-cf56-4e90-b38f-0d51c633d906,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,270935-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
8e1c114a-2992-4483-bd19-aa7f51332214,none,cn-standard,270940-2025,False,32014L0024,GRC,EUR,858bca53-7c4e-4713-812e-5a1301ae9721,,EUR,139949.64,,,,,,,,,,,,EUR,139949.64,139949.64,False,11.84904506799495,0,,,0,1,0,0,0,0,0,0,0
ab4b5056-ff5c-4a84-ab3d-e8471ae6fbd9,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,271118-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
dae27372-e6b5-41e8-a8a1-f7865ddb15ba,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,271358-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
c0c1c917-eae0-45d4-a5a8-5a544fb07dd0,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,271489-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
f74cf3c2-0a30-426c-b8d1-1c18c35ae53c,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,271924-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
4e9c5a49-c3d8-4f77-9603-4036f6c33b08,none|none|none,cn-standard,271964-2025,False,32014L0024,GRC,EUR,8f085cb2-002f-4572-aca4-f83f948eca43,,EUR,978000.0,,,,,,,,,,,,EUR,978000.0,978000.0,False,13.79326597151132,0,,,0,1,0,0,0,0,0,0,0
92ffd031-2fcc-441a-a4cc-6b72ebed2248,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,271988-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
4594e2cf-6bcf-4305-91c1-e6ea73cfd68c,,can-modif,272422-2025,,32014L0024,GRC,,99ff9687-776b-49d3-b8c8-9aece1fb9772,,,1383.8,,,,,,,,,,,,EUR,1383.8,1383.8,False,7.233311003861999,0,,,0,0,1,0,0,0,0,0,0
947711ef-a53b-46dc-9e43-3a38f15789c4,none,cn-standard,272444-2025,False,32014L0024,GRC,EUR,7067d56c-3ea2-4707-b285-3d46730ba571,,EUR,241935.48,,,,,,,,,,,,EUR,241935.48,241935.48,False,12.39643049134625,0,,,0,1,0,0,0,0,0,0,0
7d6cecc0-1493-4e81-a7b9-8d469f2c1b45,none,can-standard,272469-2025,False,32014L0024,GRC,,489b8b77-f5df-4503-855b-ebe628dcf032,sme|sme|sme|sme|sme|sme|sme|sme|sme,EUR,502645.95,selec-w,,,,,,,,,,,EUR,502645.95,502645.95,False,13.127643313974712,9,sme,2.5,1,0,0,0,0,0,0,0,0
3cc95f40-8d1f-4254-aebc-481b8ff6b746,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,272495-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,,EUR,2579587.25,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,0,1,0,0,0,0,0,0,0
