notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,legal-basis-proc,legal-basis-text.ces,winner-selection-status,winner-size,total-value,estimated-value-cur-proc,exclusion-grounds,legal-basis-text.deu,no-negocaition-necessary-lot,framework-value-notice,winner-owner-nationality,subcontracting-percentage,direct-award-justification-text-proc.eng,direct-award-justification-proc,accessibility-lot,direct-award-justification-text-proc.fra,framework-buyer-categories-lot.hrv,legal-basis-text.pol,direct-award-justification-text-proc.spa,direct-award-justification-text-proc.ron,legal-basis-text.fra,subcontracting-value,direct-award-justification-text-proc.nld,direct-award-justification-text-proc.dan,direct-award-justification-text-proc.ita,ipi-measures-applicable-lot,direct-award-justification-text-proc.deu,legal-basis-text.eng,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_can-standard,notice_is_cn-standard,notice_is_can-modif,notice_is_pin-only,notice_is_cn-social,notice_is_pin-rtl,notice_is_veat,notice_is_can-social,notice_is_can-desg,notice_is_cn-desg
372fe7d0-47c3-4237-9684-d6d24989f3fe,none|none|none|none,cn-standard,277375-2025,False,32014L0024,NLD,EUR,f884ed31-d2c7-47e6-8b8e-44c1d2dc1073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0,0
dc26e5ec-2f26-46ae-bff6-7ba167a87e2f,,can-modif,277376-2025,,32014L0024,CZE,,9536ddca-aef2-4ad1-8e01-9ddb1c68bf85,134/2016 Sb.|32014L0024,"['Zákon o zadávání veřejných zakázek', 'Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES']",,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,1,0,0,0,0,0,0,0
8c2d8ae2-3043-4646-9005-c6ba9ae2fa69,none,can-standard,277377-2025,,32014L0024,DEU,,6e24fe65-ab57-45fa-9f4b-d9dd17202fc3,vob-a,,selec-w,small,0.0,,,,,,,,,,,,,,,,,,,,,,,,EUR,0.0,0.0,False,0.0,1,small,2.0,1,0,0,0,0,0,0,0,0,0
cd39cdd4-ea21-4dc8-a7c7-f3eed54eb211,none,cn-standard,277378-2025,False,32014L0024,DEU,EUR,7c7808c5-7602-4911-8ac4-4c85cf0f9bcd,vob-a-eu,,,,24421000.0,EUR,exg-natl-bre-nat-law,['Offenes Verfahren gem. § 3 EU Abs. 1 VOB/A'],,,,,,,,,,,,,,,,,,,,,EUR,24421000.0,24421000.0,False,17.010954016797715,0,,,0,1,0,0,0,0,0,0,0,0
c856c40a-f9c1-4ba4-baff-6b39a4b52b74,none,cn-standard,277379-2025,False,32014L0024,FRA,EUR,4265bc38-6008-4a2f-b748-de0b96b652c4,,,,,5000000.0,EUR,nati-ground,,False,,,,,,,,,,,,,,,,,,,,EUR,5000000.0,5000000.0,False,15.424948670398354,0,,,0,1,0,0,0,0,0,0,0,0
ff86b3c6-abac-4d64-8509-dabfc1bc7fd5,none|none|none|none|none|none,can-standard,277380-2025,,32014L0025,ROU,,e967b25a-35c4-4c8d-b181-c94290a18f44,,,selec-w|selec-w|open-nw|open-nw|open-nw|open-nw,small|small,1399845.25,,,,,1399845.25,,,,,,,,,,,,,,,,,,,EUR,1399845.25,1399845.25,False,14.151872967126101,2,small,2.0,1,0,0,0,0,0,0,0,0,0
2fbf7ba6-0bb6-42a0-85fb-7f2bbd036d7b,dps-nlist,can-standard,277381-2025,,32014L0024,FIN,,ba08cc10-2ddc-4831-a683-b045ee2d9fad,,,selec-w,sme,780.56,,,,,,FIN,,,,,,,,,,,,,,,,,,EUR,780.56,780.56,False,6.661291922346311,1,sme,2.5,1,0,0,0,0,0,0,0,0,0
7680bb85-1cfa-4c8d-ac22-1a04865de691,,cn-desg,277382-2025,,32014L0024,FRA,,9f538bff-7c19-4b59-b7fd-a0c157437637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,0,0,0,0,0,1
9a2869e5-bf08-409a-ac9f-abf6c79b8cb2,none|none|none|none,can-standard,277383-2025,False,32014L0024,POL,PLN,c4cdc020-30f6-4050-921c-dcfe04d375b7,,,selec-w|selec-w|selec-w|selec-w,medium|large|small|small,563646.3,PLN,,,,,,,,,,,,,,,,,,,,,,,PLN,129638.64900000002,129638.64900000002,False,11.772513949754133,4,medium,3.0,1,0,0,0,0,0,0,0,0,0
563b00db-5d8b-4006-907c-841b0dbf8fad,none,veat,277384-2025,,32014L0024,MLT,,c6aea9c0-c2d3-49f9-a5d3-3c9358bc3995,,,,sme,2424154.0,,,,,,,10.0,['The contract can be provided only by a particular economic operator because of an absence of competition for technical reasons'],exclusive,,,,,,,,,,,,,,,EUR,2424154.0,2424154.0,False,14.700993568021408,1,sme,2.5,0,0,0,0,0,0,1,0,0,0
cce762ca-f116-402d-92a2-346e911b2930,none,cn-standard,277385-2025,False,32014L0024,POL,PLN,164d76e8-4f88-4698-8c1b-702711716118,,,,,1230000.0,PLN,,,,,,,,,,,,,,,,,,,,,,,PLN,282900.0,282900.0,False,12.552852292101369,0,,,0,1,0,0,0,0,0,0,0,0
8fad4f58-f585-4cb4-b01c-a39b6d8264b0,none,cn-standard,277386-2025,False,32014L0024,FIN,,916c3312-a899-48a4-97a7-4a30c041264a,,,,,,,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,1,0,0,0,0,0,0,0,0
5adfce21-48a3-4859-8c63-7a2860bfdd55,none,cn-standard,277387-2025,False,32014L0024,ITA|ITA,EUR,5adfce21-48a3-4859-8c63-7a2860bfdd55,,,,,11475000.0,EUR,,,,,,,,,n-inc,,,,,,,,,,,,,,EUR,11475000.0,11475000.0,False,16.255681401056847,0,,,0,1,0,0,0,0,0,0,0,0
f1de3870-e201-49da-8257-08caa885bd44,none|none|none|none|none,can-standard,277388-2025,,32014L0024,ROU,,0616c627-0878-4c0b-aa51-62268eb4a730,,,selec-w|selec-w|selec-w|selec-w|selec-w,medium|small|medium|medium,242696.42,,,,,4151339.81,,,,,,,,,,,,,,,,,,,EUR,242696.42,242696.42,False,12.39957076125028,4,medium,3.0,1,0,0,0,0,0,0,0,0,0
21264644-937b-4726-99c1-6ccd17be6393,none|none|none|none|none|none|none|none|none|none|none|none|none,can-standard,277389-2025,False,32014L0024,POL,,20d132c6-aa4c-4b26-aed0-e2e16b669d44,,,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w,large|small|micro|large|micro|large|micro|medium|large,515811.29,,,,,,,,,,,,,,,,,,,,,,,,EUR,515811.29,515811.29,False,13.153498199210276,9,large,4.0,1,0,0,0,0,0,0,0,0,0
eab4efd5-d38d-41f7-bac3-119d8a1b9382,none,cn-standard,277390-2025,False,32014L0024,ESP,,23830744-00e7-4daf-9783-5521227d94a3,,,,,518700.0,EUR,exg-mis-misrepresent,,,,,,,,,,,,,,,,,,,,,,EUR,518700.0,518700.0,False,13.159082888234298,0,,,0,1,0,0,0,0,0,0,0,0
4e37423b-41f5-42a2-9605-e94df998b730,,can-modif,277391-2025,,32014L0025,DEU,,cae3152f-21c5-4780-a305-888fcfc0b71b,sektvo,,,,2079116.52,,,,,,,,,,,,,,,,,,,,,,,,EUR,2079116.52,2079116.52,False,14.547454092419077,0,,,0,0,1,0,0,0,0,0,0,0
