notice-identifier,dps-usage-lot,notice-type,publication-number,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,exclusion-grounds,accessibility-lot,procedure-accelerated,framework-buyer-categories-lot.hrv,legal-basis-proc,legal-basis-text.pol,no-negocaition-necessary-lot,legal-basis-text.ces,direct-award-justification-proc,framework-buyer-categories-lot.bul,legal-basis-text.fra,legal-basis-text.deu,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard
671cfb3c-1ca2-4d4b-835e-015ca35ad0c4,none,cn-standard,1-2025,32014L0024,HRV,EUR,fc0c326c-76d9-4eb1-8540-486560d9c965,EUR,223000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,n-inc,,,,,,,,,,,EUR,223000.0,223000.0,False,12.314931534737134,1,0,0,0,0,0,0,0,0,0
ee0f8e27-1180-45e1-8797-58c901c885d7,none|none|none|none|none,cn-standard,3-2025,32014L0024,POL,,306c91be-e2c2-418f-a0d9-dea1ad15a6e5,,,nati-ground|prep-confl|corruption|fraud|labour-law|socsec-pay|tax-pay|distorsion|finan-laund|human-traffic|terr-offence|crime-org,,,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
a13186e3-a46c-48be-86db-8d02a2331dbc,none,cn-standard,10-2025,32014L0025,POL,,9524d62c-ebb0-4eb1-9363-c04ed59a07db,,,,,False,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
0a29c5ab-1bfa-4d46-80f0-e9ef2f12af03,none,cn-standard,14-2025,32014L0024,HRV,EUR,5a3e9762-0e3d-4a33-8360-e481969cdb71,EUR,816000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,n-inc,,['Naručitelji koji su navedeni u ovoj obavijesti'],,,,,,,,,EUR,816000.0,816000.0,False,13.61217085943569,1,0,0,0,0,0,0,0,0,0
3d9cd246-62b2-4982-98ac-a3b564659844,none,cn-standard,15-2025,32014L0024,POL,,ccc0fc13-5f3d-4832-8980-d1fc1ec130a2,,,,,True,,Ustawa Prawo zamówień publicznych (t.j. Dz. U. z 2024 r. poz. 1320),,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
aa0269df-316e-4bbe-8447-ed4dae427b6b,none,cn-standard,20-2025,32014L0025,EST,,d2cf0de8-ced2-479a-8855-1d8385375173,,,,n-inc,,,,,,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
4afdcb76-9828-4c51-b5a0-39bf738ef9e7,none,cn-standard,26-2025,32014L0024,ITA,EUR,82e0450d-5e71-4756-b003-ddeafc38fa47,EUR,536330.98,bankruptcy,,,,,,,,,,,,EUR,536330.98,536330.98,False,13.192508613996825,1,0,0,0,0,0,0,0,0,0
e4dc8d6e-fe39-4f77-b558-2837cc56a556,none,cn-standard,32-2025,32014L0024,ESP,,fbe0836c-1419-4e33-8251-c2773d21c2cc,EUR,338273.81,,,True,,,,,,,,,,EUR,338273.81,338273.81,False,12.731613891458492,1,0,0,0,0,0,0,0,0,0
10a5ccfc-e324-4e66-81f6-aff10663770c,none,cn-standard,34-2025,32014L0025,LTU,EUR,3be91a5c-b9e6-481b-bb01-de40d7d1f7f1,EUR,150000.0,,,False,,,,,,,,,,EUR,150000.0,150000.0,False,11.918397239722838,1,0,0,0,0,0,0,0,0,0
636c822b-7a49-43c6-ba2c-45258030c08a,none,cn-standard,36-2025,32014L0025,HRV,EUR,01370b5b-8746-4b0e-974d-2b422aee2888,EUR,500000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|bankruptcy|insolvency|liq-admin|cred-arran|susp-act|bankr-nat|sanction|misrepresent,n-inc,,,,,,,,,,,EUR,500000.0,500000.0,False,13.122365377402328,1,0,0,0,0,0,0,0,0,0
3576d367-e8de-4425-af2a-c2bf546031e1,none,cn-standard,41-2025,32014L0024,HRV,EUR,336815f5-ed05-452a-be79-b3854373323a,EUR,12855432.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|bankruptcy|insolvency|liq-admin|cred-arran|susp-act|bankr-nat|sanction|misrepresent,n-inc,,,,,,,,,,,EUR,12855432.0,12855432.0,False,16.36927708150653,1,0,0,0,0,0,0,0,0,0
663ee27c-26c0-4d0d-9b43-4601f6d6c825,none,pin-rtl,52-2025,32014L0024,FIN,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,0,0,1,0,0,0,0,0,0
97303bf9-c810-42c5-8746-441e6ecaecef,,cn-social,53-2025,32014L0024,MDA,MDL,2eea19b6-6371-4aa8-b99d-a57275f25ad3,MDL,2909089.81,,,,,,,,,,,,,EUR,2909089.81,2909089.81,False,14.88335115390313,0,0,0,0,1,0,0,0,0,0
4ddca8e6-f4ca-454d-8027-ccbad9795119,none,cn-standard,56-2025,32014L0024,HRV,EUR,85152e67-1112-4dcc-8e54-7f76c252a7e2,EUR,270000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|prof-misconduct|sanction|misrepresent,n-inc,,,,,,,,,,,EUR,270000.0,270000.0,False,12.506180941677357,1,0,0,0,0,0,0,0,0,0
c9fdfc6b-cd8d-4a8d-9483-0840b1f29e48,none,cn-standard,59-2025,32014L0025,MKD,,542127d4-1fd5-46d7-a6ab-074233aea70c,MKD,88571428.0,,,False,,,,,,,,,,EUR,88571428.0,27807499.999999966,True,18.29931989178681,1,0,0,0,0,0,0,0,0,0
4342abe9-3124-4d7c-9e92-ff5a448318db,none,cn-standard,65-2025,32014L0025,HRV,EUR,8ca1730a-c163-48e3-bf5e-dcb827ef72bb,EUR,13000000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|envir-law|socsec-law|labour-law|bankruptcy|insolvency|liq-admin|cred-arran|susp-act|bankr-nat|prof-misconduct|distorsion|partic-confl|prep-confl|sanction|misrepresent,n-inc,,,,,,,,,,,EUR,13000000.0,13000000.0,False,16.380459992348886,1,0,0,0,0,0,0,0,0,0
5ea871cb-07a1-421f-956f-4323c9cd2d9d,none|none|none,cn-standard,83-2025,32014L0024,BGR,BGN,6fb3f2c5-f505-4832-9728-f8e8468d685f,BGN,209166.66,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|envir-law|socsec-law|labour-law|prep-confl|partic-confl|misrepresent|nati-ground|bankruptcy|insolvency|cred-arran|bankr-nat|liq-admin|susp-act,n-inc|n-inc|n-inc,False,,,,,,,,,,BGN,106674.9966,106674.9966,False,11.577551450407686,1,0,0,0,0,0,0,0,0,0
c6177961-6456-4946-9ba0-919d084d91d4,none,cn-standard,95-2025,32014L0024,ITA,EUR,ca94cf6f-cc6b-4b81-b7fa-629a74a80043,EUR,480000.0,nati-ground,,False,,,,,,,,,,EUR,480000.0,480000.0,False,13.081543466215237,1,0,0,0,0,0,0,0,0,0
f627bdb2-f1cc-4c22-999c-a3f4db7fe372,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,100-2025,32014L0024,HRV,EUR,f9554ce6-b314-43ec-97dc-d7074a2927bb,EUR,440000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc,,['Naručitelji koji su navedeni u ovoj obavijesti'],,,,,,,,,EUR,440000.0,440000.0,False,12.994532278619134,1,0,0,0,0,0,0,0,0,0
444134c2-dad6-4047-967e-64f662cd1fa7,none|none,cn-standard,116-2025,32014L0024,HRV|HRV,EUR,21a06519-a88f-4b86-8b33-4a2dcfa3e5eb,EUR,272000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|partic-confl|sanction|misrepresent,n-inc-just|n-inc-just,,['Naručitelji koji su navedeni u ovoj obavijesti'],,,,,,,,,EUR,272000.0,272000.0,False,12.513561021741964,1,0,0,0,0,0,0,0,0,0
b248a188-28c6-4d2a-b82a-daff55332385,none,cn-standard,121-2025,32014L0024,HRV|HRV,EUR,04fdd5cb-938b-4e8b-a389-1e7d3d0a2f6a,EUR,330000.0,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay|partic-confl|sanction|misrepresent,n-inc-just,,,,,,,,,,,EUR,330000.0,330000.0,False,12.706850963741102,1,0,0,0,0,0,0,0,0,0
5b9a37de-5fdf-4f3a-8237-460f1e63e202,none|none|none|none|none|none|none|none,cn-standard,124-2025,32014L0024,HRV,EUR,fd97a790-f3c9-43b6-bd25-d4c5212ae29e,EUR,2604608.14,crime-org|corruption|fraud|terr-offence|finan-laund|human-traffic|tax-pay|socsec-pay,inc|inc|inc|inc|inc|inc|inc|inc,,['Naručitelji koji su navedeni u ovoj obavijesti'],,,,,,,,,EUR,2604608.14,2604608.14,False,14.772793179685657,1,0,0,0,0,0,0,0,0,0
5a2e42b5-e14e-4fb5-b4ea-49e168b1e494,none|none|none|none|none|none|none,cn-standard,126-2025,32014L0024,EST|EST|EST|EST,EUR,95252795-29d0-406b-a48a-cd56f19f58c6,EUR,18520000.0,nati-ground,n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc,,,,,,,,,,,EUR,18520000.0,18520000.0,False,16.734361841177986,1,0,0,0,0,0,0,0,0,0
ed9d736b-b849-473a-b8c9-d525c01fdb77,none,cn-standard,129-2025,32014L0024,POL,,d194359e-fe75-4b20-97e1-c1d33dcb4b5f,,,exg-sitn-liq-admin|exg-mis-prep-confl|exg-mis-misconduct|exg-sitn-as-susp|exg-mis-partic-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-env-law|exg-mis-bre-lab-law|exg-mis-bre-soc-law|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-natl-bre-nat-law|exg-sitn-insolvency|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-misrepresent,,False,,Ustawa prawo zamówień publicznych,['j.w.'],,,,,,,EUR,,,False,0.0,1,0,0,0,0,0,0,0,0,0
