notice-identifier,total-value-eur,total-value-eur-capped,total-value-eur-log,notice_is_cn-standard,notice_is_pin-only,notice_is_pin-tran,notice_is_pin-rtl,notice_is_cn-social,notice_is_pin-buyer,notice_is_qu-sy,notice_is_corr,notice_is_pin-cfc-social,notice_is_pin-cfc-standard,total-value,notice_type_cn-standard,notice_type_can-standard,notice_type_can-modif,notice_type_pin-only,notice_type_can-social,notice_type_cn-social,notice_type_veat,notice_type_pin-rtl,notice_type_pin-buyer,notice_type_cn-desg,is_outlier,outlier_status,anomaly_score,prediction_time
671cfb3c-1ca2-4d4b-835e-015ca35ad0c4,223000.0,223000.0,12.314931534737134,1,0,0,0,0,0,0,0,0,0,223000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1728,2025-05-30 11:59:56
0a29c5ab-1bfa-4d46-80f0-e9ef2f12af03,816000.0,816000.0,13.61217085943569,1,0,0,0,0,0,0,0,0,0,816000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1766,2025-05-30 11:59:56
4afdcb76-9828-4c51-b5a0-39bf738ef9e7,536330.98,536330.98,13.192508613996823,1,0,0,0,0,0,0,0,0,0,536330.98,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1742,2025-05-30 11:59:56
e4dc8d6e-fe39-4f77-b558-2837cc56a556,338273.81,338273.81,12.731613891458492,1,0,0,0,0,0,0,0,0,0,338273.81,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
10a5ccfc-e324-4e66-81f6-aff10663770c,150000.0,150000.0,11.918397239722838,1,0,0,0,0,0,0,0,0,0,150000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1709,2025-05-30 11:59:56
636c822b-7a49-43c6-ba2c-45258030c08a,500000.0,500000.0,13.122365377402328,1,0,0,0,0,0,0,0,0,0,500000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1744,2025-05-30 11:59:56
3576d367-e8de-4425-af2a-c2bf546031e1,12855432.0,12855432.0,16.36927708150653,1,0,0,0,0,0,0,0,0,0,12855432.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1448,2025-05-30 11:59:56
97303bf9-c810-42c5-8746-441e6ecaecef,2909089.81,2909089.81,14.88335115390313,0,0,0,0,1,0,0,0,0,0,2909089.81,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1689,2025-05-30 11:59:56
4ddca8e6-f4ca-454d-8027-ccbad9795119,270000.0,270000.0,12.506180941677355,1,0,0,0,0,0,0,0,0,0,270000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
c9fdfc6b-cd8d-4a8d-9483-0840b1f29e48,88571428.0,27807499.999999966,18.29931989178681,1,0,0,0,0,0,0,0,0,0,88571428.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.0351,2025-05-30 11:59:56
4342abe9-3124-4d7c-9e92-ff5a448318db,13000000.0,13000000.0,16.380459992348886,1,0,0,0,0,0,0,0,0,0,13000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1448,2025-05-30 11:59:56
5ea871cb-07a1-421f-956f-4323c9cd2d9d,106674.9966,106674.9966,11.577551450407686,1,0,0,0,0,0,0,0,0,0,209166.66,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.172,2025-05-30 11:59:56
c6177961-6456-4946-9ba0-919d084d91d4,480000.0,480000.0,13.081543466215235,1,0,0,0,0,0,0,0,0,0,480000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1744,2025-05-30 11:59:56
f627bdb2-f1cc-4c22-999c-a3f4db7fe372,440000.0,440000.0,12.994532278619134,1,0,0,0,0,0,0,0,0,0,440000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1748,2025-05-30 11:59:56
444134c2-dad6-4047-967e-64f662cd1fa7,272000.0,272000.0,12.513561021741964,1,0,0,0,0,0,0,0,0,0,272000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
b248a188-28c6-4d2a-b82a-daff55332385,330000.0,330000.0,12.706850963741102,1,0,0,0,0,0,0,0,0,0,330000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1753,2025-05-30 11:59:56
5b9a37de-5fdf-4f3a-8237-460f1e63e202,2604608.14,2604608.14,14.772793179685657,1,0,0,0,0,0,0,0,0,0,2604608.14,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1709,2025-05-30 11:59:56
5a2e42b5-e14e-4fb5-b4ea-49e168b1e494,18520000.0,18520000.0,16.734361841177986,1,0,0,0,0,0,0,0,0,0,18520000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1321,2025-05-30 11:59:56
a3d3f8b3-86f5-4d05-a321-f2725ef1237b,991046.63,991046.63,13.806517874720225,1,0,0,0,0,0,0,0,0,0,991046.63,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1723,2025-05-30 11:59:56
ef4ba2a7-0244-4a23-b1f8-9fc65c594408,852599.9999999999,852599.9999999999,13.656046956195503,1,0,0,0,0,0,0,0,0,0,9800000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.172,2025-05-30 11:59:56
c26e6b1b-b25b-467b-b371-aa101c428da8,5000000.0,5000000.0,15.424948670398354,1,0,0,0,0,0,0,0,0,0,5000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.163,2025-05-30 11:59:56
2a943159-7342-41a6-93ea-5782acbb63b7,2000000.0,2000000.0,14.508658238524095,1,0,0,0,0,0,0,0,0,0,2000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1691,2025-05-30 11:59:56
671dcf60-afdf-4b4b-8c20-3b0a209d5acd,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.075,2025-05-30 11:59:56
59214635-8de1-4154-a162-9de788d79d57,597250.0,597250.0,13.300092739527384,1,0,0,0,0,0,0,0,0,0,597250.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1739,2025-05-30 11:59:56
892895cf-9b04-417e-916d-b118d256d707,9003526.53,9003526.53,16.013127006286805,1,0,0,0,0,0,0,0,0,0,9003526.53,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.156,2025-05-30 11:59:56
735de6a4-d7f6-420e-88b1-24878e9df499,2340000.0,2340000.0,14.66566191468422,1,0,0,0,0,0,0,0,0,0,60000000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1318,2025-05-30 11:59:56
9dac21de-6a2a-4068-b499-557b25a638d9,1800000.0,1800000.0,14.403297778421797,0,1,0,0,0,0,0,0,0,0,1800000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1707,2025-05-30 11:59:56
3365f0ae-72d8-4160-a2f6-4d15581a3271,54048000.0,27807499.999999966,17.805383117091736,1,0,0,0,0,0,0,0,0,0,54048000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.0743,2025-05-30 11:59:56
e81622b2-b5c5-4593-b523-4bc062ab8319,640000.0,640000.0,13.369225017834632,1,0,0,0,0,0,0,0,0,0,640000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
e9363a4b-15b3-4d7c-9dd9-bbbaa1fdab2d,280000.0,280000.0,12.54254845357358,0,0,0,0,0,0,0,0,1,0,280000.0,0,0,0,0,0,0,0,0,0,0,False,NORMAL,0.1751,2025-05-30 11:59:56
